democratic	democratic7	energy	random	static
10.3333 4.4	10.3333 3.7	10.3333 7.3	10.3333 5.8	
10.5 6.3	10.5 3.3	10.5 6.2	10.5 6.6	
10.6667 5.6	10.6667 4.6	10.6667 7	10.6667 6.1	
10.8333 5.3	10.8333 5.9	10.8333 6.5	10.8333 6.1	
11 4.5	11 4.2	11 4.1	11 6.2	
11.1667 4.1	11.1667 3.5	11.1667 3.8	11.1667 6.5	
11.3333 6.7	11.3333 4.8	11.3333 5.4	11.3333 5.6	
11.5 6.9	11.5 5.4	11.5 4.6	11.5 6.8	
11.6667 4.4	11.6667 3.1	11.6667 5.5	11.6667 7.1	
11.8333 7.3	11.8333 3.8	11.8333 5.7	11.8333 6.8	
12 6.6	12 4.6	12 7.9	12 5.5	
12.1667 7.2	12.1667 2.7	12.1667 6.1	12.1667 5.2	
12.3333 5	12.3333 2.8	12.3333 5.5	12.3333 5.8	
12.5 4	12.5 3.1	12.5 6.1	12.5 5.8	
12.6667 4.3	12.6667 4	12.6667 6.8	12.6667 6	
12.8333 4.7	12.8333 4.6	12.8333 5	12.8333 5.8	
13 7	13 3.6	13 5.8	13 5.9	
13.1667 5.2	13.1667 4	13.1667 4.2	13.1667 5.7	
13.3333 5.6	13.3333 4.3	13.3333 3.4	13.3333 5.5	
13.5 6.9	13.5 4	13.5 5.6	13.5 5.2	
13.6667 4.7	13.6667 4	13.6667 6.1	13.6667 5.7	
13.8333 6.7	13.8333 5.2	13.8333 6.4	13.8333 6.9	
14 6.9	14 2.9	14 7.5	14 6.2	
14.1667 5.9	14.1667 4.1	14.1667 5.4	14.1667 7.5	
14.3333 5.2	14.3333 4.3	14.3333 6.5	14.3333 6.2	
14.5 4.4	14.5 5.2	14.5 4.4	14.5 7.4	
14.6667 2.8	14.6667 5	14.6667 5.6	14.6667 6.8	
14.8333 5.7	14.8333 2.1	14.8333 6.3	14.8333 4.7	
15 7.5	15 3	15 4.4	15 6.7	
15.1667 5.2	15.1667 3.3	15.1667 4.7	15.1667 5.6	
15.3333 6.5	15.3333 3.3	15.3333 4.7	15.3333 6.5	
15.5 5.8	15.5 3.5	15.5 5	15.5 5.6	
15.6667 8.6	15.6667 3.1	15.6667 6.3	15.6667 6.6	
15.8333 4.7	15.8333 3.2	15.8333 7	15.8333 6.7	
16 4.7	16 5.1	16 6.6	16 5.9	
16.1667 6.7	16.1667 5.1	16.1667 5.6	16.1667 5	
16.3333 3.3	16.3333 4.7	16.3333 6.3	16.3333 5.4	
16.5 4.3	16.5 4.6	16.5 7.2	16.5 6.2	
16.6667 5.4	16.6667 3.3	16.6667 4.5	16.6667 5.3	
16.8333 5.3	16.8333 3.7	16.8333 4.7	16.8333 5.7	
17 4.9	17 6.8	17 4.5	17 5.8	
17.1667 6.1	17.1667 5.8	17.1667 4.9	17.1667 5.8	
17.3333 5.6	17.3333 2.3	17.3333 4.9	17.3333 6.5	
17.5 8.3	17.5 2.4	17.5 6.1	17.5 6.5	
17.6667 7.5	17.6667 3.5	17.6667 5.4	17.6667 5.9	
17.8333 7.2	17.8333 2.2	17.8333 5.9	17.8333 5	
18 3.3	18 3	18 6.7	18 4.9	
18.1667 3.3	18.1667 3.2	18.1667 7.6	18.1667 5.7	
18.3333 4.4	18.3333 4.7	18.3333 6.3	18.3333 6.2	
18.5 7.2	18.5 4.6	18.5 5.2	18.5 6.5	
18.6667 5.9	18.6667 4.2	18.6667 5	18.6667 6.1	
18.8333 3.9	18.8333 4.4	18.8333 4	18.8333 6.1	
19 3.7	19 4.2	19 4.9	19 5.9	
19.1667 7.4	19.1667 3.8	19.1667 5.3	19.1667 7.5	
19.3333 6.4	19.3333 4.7	19.3333 3.9	19.3333 6.6	
19.5 7.6	19.5 4.6	19.5 6.5	19.5 6.8	
19.6667 8.3	19.6667 4.3	19.6667 7.8	19.6667 6	
19.8333 5.4	19.8333 5.1	19.8333 6.1	19.8333 6	
20 3.4	20 3.1	20 6.8	20 6.7	
20.1667 3.2	20.1667 3.5	20.1667 5	20.1667 6.8	
20.3333 4.9	20.3333 3.3	20.3333 6.4	20.3333 6.8	
20.5 5.6	20.5 3.5	20.5 6.3	20.5 6.9	
20.6667 6.1	20.6667 3.5	20.6667 5.2	20.6667 5.7	
20.8333 7	20.8333 2.6	20.8333 3.6	20.8333 5.9	
21 6.6	21 3	21 4.3	21 6.4	
21.1667 5.5	21.1667 3	21.1667 4.4	21.1667 6.1	
21.3333 5.4	21.3333 3.3	21.3333 6.8	21.3333 6.1	
21.5 7.5	21.5 6.2	21.5 7.8	21.5 6.3	
21.6667 6.1	21.6667 5.2	21.6667 5.7	21.6667 6.5	
21.8333 4.1	21.8333 4.8	21.8333 6.5	21.8333 4.9	
22 5.9	22 5.4	22 5.7	22 4.9	
22.1667 3.7	22.1667 5.5	22.1667 6.4	22.1667 5.2	
22.3333 4.1	22.3333 4.9	22.3333 5.6	22.3333 7.1	
22.5 5.8	22.5 3	22.5 5.2	22.5 6.2	
22.6667 6.5	22.6667 2.8	22.6667 3.9	22.6667 5.8	
22.8333 6.4	22.8333 2.5	22.8333 3.3	22.8333 7.1	
23 6.6	23 2.9	23 5.9	23 6.5	
23.1667 7.8	23.1667 4.4	23.1667 6.8	23.1667 6.5	
23.3333 7	23.3333 2.5	23.3333 6.1	23.3333 5	
23.5 4.5	23.5 3.9	23.5 5.8	23.5 6.4	
23.6667 4.6	23.6667 3.5	23.6667 6.5	23.6667 5.9	
23.8333 4.7	23.8333 3.5	23.8333 6.3	23.8333 6.1	
24 3.5	24 4.7	24 6.4	24 6.1	
24.1667 5.1	24.1667 3.9	24.1667 5.8	24.1667 7.5	
24.3333 7	24.3333 4.8	24.3333 5.3	24.3333 7	
24.5 5.8	24.5 5.1	24.5 3.6	24.5 6.7	
24.6667 6.8	24.6667 5.4	24.6667 3.7	24.6667 6.1	
24.8333 4.9	24.8333 5.1	24.8333 6.4	24.8333 5.8	
25 7.7	25 4.4	25 5.7	25 6.4	
25.1667 7.7	25.1667 4.6	25.1667 6.2	25.1667 5.3	
25.3333 4.4	25.3333 2.3	25.3333 6.9	25.3333 6.6	
25.5 5	25.5 3.4	25.5 6.1	25.5 6.4	
25.6667 3.5	25.6667 3.4	25.6667 7.1	25.6667 6.7	
25.8333 5.7	25.8333 2.4	25.8333 5	25.8333 5.5	
26 5	26 2.4	26 4.2	26 6.3	
26.1667 5.1	26.1667 3.6	26.1667 5.5	26.1667 6.3	
26.3333 5.3	26.3333 3.8	26.3333 5.3	26.3333 6.1	
26.5 6.3	26.5 5.6	26.5 6.1	26.5 7.2	
26.6667 7.8	26.6667 5.6	26.6667 5.3	26.6667 5.5	
26.8333 5.6	26.8333 4.8	26.8333 4.1	26.8333 6.6	
27 7.2	27 5.2	27 5	27 5.4	
27.1667 4.3	27.1667 4.4	27.1667 6.7	27.1667 6.5	
27.3333 5.5	27.3333 4	27.3333 7.3	27.3333 6.1	
27.5 4.9	27.5 3.2	27.5 6.7	27.5 6.2	
27.6667 3.9	27.6667 2.8	27.6667 6.6	27.6667 6	
27.8333 6.9	27.8333 4.1	27.8333 4.1	27.8333 6	
28 7.2	28 4.8	28 4.8	28 5.4	
28.1667 4.9	28.1667 3.6	28.1667 5.3	28.1667 6.1	
28.3333 4.9	28.3333 2.5	28.3333 6.1	28.3333 6.5	
28.5 4.4	28.5 3	28.5 5.7	28.5 6.2	
28.6667 5.8	28.6667 2.5	28.6667 5.2	28.6667 6.5	
28.8333 7.2	28.8333 3.7	28.8333 4.9	28.8333 6.7	
29 5.5	29 5.1	29 5.2	29 6.6	
29.1667 6.4	29.1667 5.4	29.1667 6.7	29.1667 6.1	
29.3333 7	29.3333 4.4	29.3333 5.9	29.3333 6.4	
29.5 4.3	29.5 4.4	29.5 6.5	29.5 6.3	
29.6667 4	29.6667 4.5	29.6667 6.3	29.6667 6.8	
29.8333 6	29.8333 4.6	29.8333 5.3	29.8333 5.7	
30 6.1	30 4.3	30 5.8	30 5.7	
30.1667 5.3	30.1667 2.5	30.1667 5.3	30.1667 6.8	
30.3333 6.4	30.3333 4.1	30.3333 4.7	30.3333 6.1	
30.5 5.3	30.5 4.5	30.5 4.7	30.5 5.7	
30.6667 5.7	30.6667 4.4	30.6667 5.3	30.6667 5.4	
30.8333 3.6	30.8333 2.6	30.8333 6.1	30.8333 4.8	
31 6.6	31 2.3	31 6.1	31 6.7	
31.1667 7.1	31.1667 3	31.1667 6.2	31.1667 5.6	
31.3333 6.9	31.3333 3.8	31.3333 6.6	31.3333 6.3	
31.5 3.4	31.5 4.4	31.5 6.4	31.5 6.9	
31.6667 3.9	31.6667 5.7	31.6667 5.3	31.6667 6.1	
31.8333 6.2	31.8333 4.8	31.8333 5.2	31.8333 7.1	
32 5.6	32 4.3	32 5.6	32 5.3	
32.1667 6.8	32.1667 4.2	32.1667 5	32.1667 6.1	
32.3333 6	32.3333 3.9	32.3333 4.7	32.3333 6.9	
32.5 6.6	32.5 2.6	32.5 5.8	32.5 6.4	
32.6667 6.7	32.6667 3.9	32.6667 5.2	32.6667 6.2	
32.8333 7.4	32.8333 4.5	32.8333 7.2	32.8333 6.3	
33 4.7	33 4.2	33 6.1	33 6.4	
33.1667 3.8	33.1667 4.3	33.1667 5.9	33.1667 6.1	
33.3333 3.4	33.3333 4.4	33.3333 5.7	33.3333 6.2	
33.5 6.5	33.5 3.8	33.5 5.7	33.5 6.6	
33.6667 6.7	33.6667 3.8	33.6667 6	33.6667 6.1	
33.8333 6.4	33.8333 3.4	33.8333 4.6	33.8333 6	
34 6.3	34 2.7	34 4.6	34 5.9	
34.1667 4.5	34.1667 3.8	34.1667 5.3	34.1667 6.4	
34.3333 4.4	34.3333 3.9	34.3333 5.8	34.3333 6.1	
34.5 7.4	34.5 4.4	34.5 5.9	34.5 6.7	
34.6667 5.7	34.6667 4.4	34.6667 6.1	34.6667 5.7	
34.8333 6	34.8333 3.3	34.8333 6.2	34.8333 5.9	
35 3.6	35 4.9	35 5.2	35 6.2	
35.1667 6.2	35.1667 4.8	35.1667 5.9	35.1667 7.5	
35.3333 5	35.3333 4	35.3333 5.6	35.3333 6.9	
35.5 7.2	35.5 4.4	35.5 6.8	35.5 5.3	
35.6667 6	35.6667 3.2	35.6667 4.3	35.6667 5.8	
35.8333 3.9	35.8333 3	35.8333 4.9	35.8333 6.6	
36 7.2	36 4.1	36 5.5	36 6	
36.1667 5.3	36.1667 4	36.1667 5.9	36.1667 5.7	
36.3333 4.7	36.3333 3.7	36.3333 6.4	36.3333 6.5	
36.5 7.3	36.5 3.9	36.5 5.8	36.5 5.7	
36.6667 5.1	36.6667 4.4	36.6667 6.3	36.6667 5.9	
36.8333 4.8	36.8333 3.9	36.8333 5.1	36.8333 5.9	
37 6.4	37 3.9	37 4.9	37 5	
37.1667 5.4	37.1667 5	37.1667 6.6	37.1667 4.9	
37.3333 5.7	37.3333 3	37.3333 6.1	37.3333 5	
37.5 4.1	37.5 3.6	37.5 4.4	37.5 5.2	
37.6667 7.6	37.6667 3.5	37.6667 6	37.6667 5.5	
37.8333 6.2	37.8333 5.2	37.8333 4.5	37.8333 6	
38 3.7	38 3.7	38 6.1	38 5.5	
38.1667 4.6	38.1667 3.9	38.1667 6	38.1667 6.5	
38.3333 5.6	38.3333 4	38.3333 5.7	38.3333 6.3	
38.5 7.8	38.5 4.3	38.5 6.1	38.5 6.2	
38.6667 5.1	38.6667 3.7	38.6667 5.8	38.6667 6.5	
38.8333 6.5	38.8333 4.7	38.8333 5.1	38.8333 5.9	
39 5.7	39 4.2	39 6.4	39 5.6	
39.1667 4.9	39.1667 4.1	39.1667 5.5	39.1667 6.3	
39.3333 6.7	39.3333 2.8	39.3333 5.5	39.3333 6.9	
39.5 5	39.5 2.5	39.5 4.7	39.5 5.7	
39.6667 5	39.6667 4.6	39.6667 5	39.6667 4.6	
39.8333 4.1	39.8333 5	39.8333 6.1	39.8333 5.4	
40 5.2	40 3.8	40 6.3	40 5.8	
40.1667 5.6	40.1667 3.4	40.1667 4.6	40.1667 6.1	
40.3333 8	40.3333 4.6	40.3333 6.2	40.3333 6.6	
40.5 5.8	40.5 3.6	40.5 7.3	40.5 7.2	
40.6667 5.8	40.6667 3.2	40.6667 4	40.6667 6.8	
40.8333 6.3	40.8333 4.2	40.8333 5.1	40.8333 6.8	
41 7	41 3.3	41 6.8	41 6	
41.1667 3.5	41.1667 4.1	41.1667 5.9	41.1667 6	
41.3333 4	41.3333 4.7	41.3333 3.5	41.3333 5.7	
41.5 5.2	41.5 4.7	41.5 6.3	41.5 6.4	
41.6667 4.7	41.6667 5.2	41.6667 5.8	41.6667 5.5	
41.8333 6.5	41.8333 3.3	41.8333 6.2	41.8333 6.1	
42 6.3	42 2.5	42 6.3	42 5	
42.1667 7.6	42.1667 3.3	42.1667 6.8	42.1667 6.6	
42.3333 5.8	42.3333 4.6	42.3333 5.4	42.3333 5.3	
42.5 4.4	42.5 3.6	42.5 4.3	42.5 6.7	
42.6667 7.7	42.6667 4.2	42.6667 4.8	42.6667 5.7	
42.8333 6	42.8333 4	42.8333 6.4	42.8333 5.5	
43 3.6	43 4	43 6	43 6.8	
43.1667 4.2	43.1667 4.9	43.1667 4.4	43.1667 6.7	
43.3333 5.2	43.3333 3.6	43.3333 5.1	43.3333 6.6	
43.5 5	43.5 3.1	43.5 6.2	43.5 6	
43.6667 5.7	43.6667 3.7	43.6667 6.8	43.6667 6.2	
43.8333 6.2	43.8333 3.6	43.8333 5.3	43.8333 6.5	
44 6.4	44 4.9	44 5.2	44 6.4	
44.1667 8.2	44.1667 4.4	44.1667 6.9	44.1667 6.3	
44.3333 5.6	44.3333 4.6	44.3333 5.4	44.3333 6.3	
44.5 6.4	44.5 3.4	44.5 4.6	44.5 5.8	
44.6667 4.7	44.6667 3.6	44.6667 5.1	44.6667 6.1	
44.8333 4.2	44.8333 3.8	44.8333 6.7	44.8333 6.8	
45 4.7	45 3.3	45 5	45 6.2	
45.1667 5.1	45.1667 4.1	45.1667 5.3	45.1667 5.4	
45.3333 5.6	45.3333 4.1	45.3333 6.3	45.3333 5.3	
45.5 6.6	45.5 3.4	45.5 6.7	45.5 4.9	
45.6667 4.7	45.6667 4.7	45.6667 5.4	45.6667 6.1	
45.8333 6.7	45.8333 4.3	45.8333 6	45.8333 5.9	
46 7.9	46 3.2	46 5.7	46 5.6	
46.1667 6.9	46.1667 4.5	46.1667 5.4	46.1667 5.8	
46.3333 5.2	46.3333 4	46.3333 4.7	46.3333 5.3	
46.5 3.4	46.5 4.8	46.5 5	46.5 5.1	
46.6667 5.9	46.6667 4.3	46.6667 6.7	46.6667 5.6	
46.8333 4.1	46.8333 3.3	46.8333 6	46.8333 6.4	
47 5.5	47 3.6	47 4	47 6.4	
47.1667 6.1	47.1667 4.1	47.1667 6.2	47.1667 6.3	
47.3333 6.2	47.3333 2.8	47.3333 6.4	47.3333 7.1	
47.5 4.3	47.5 3.7	47.5 5.6	47.5 5.2	
47.6667 7.5	47.6667 4.7	47.6667 6.5	47.6667 5.8	
47.8333 7.8	47.8333 4.6	47.8333 5.8	47.8333 6.7	
48 6.5	48 4.3	48 5.9	48 7	
48.1667 4	48.1667 2.7	48.1667 4.2	48.1667 6.1	
48.3333 3.7	48.3333 2.9	48.3333 3.8	48.3333 5.5	
48.5 5.2	48.5 3.9	48.5 6	48.5 6.1	
48.6667 5.9	48.6667 4.6	48.6667 6.3	48.6667 6.8	
48.8333 5.9	48.8333 4.3	48.8333 6.1	48.8333 6.5	
49 7.1	49 4.4	49 6.7	49 6	
49.1667 4.3	49.1667 4.1	49.1667 5.5	49.1667 5.6	
49.3333 5.1	49.3333 3.8	49.3333 4.3	49.3333 5.5	
49.5 5.7	49.5 4.5	49.5 5.8	49.5 5.4	
49.6667 7.1	49.6667 4.7	49.6667 6.8	49.6667 5.7	
49.8333 7.3	49.8333 3.5	49.8333 7.1	49.8333 6.9	
50 5	50 2.9	50 3.5	50 5.8	
50.1667 4.2	50.1667 3.7	50.1667 4.3	50.1667 6.4	
50.3333 4.9	50.3333 3.8	50.3333 4.8	50.3333 7.1	
50.5 4.4	50.5 3.9	50.5 6.4	50.5 6.5	
50.6667 6.6	50.6667 3.9	50.6667 6.1	50.6667 6.3	
50.8333 6.5	50.8333 4.1	50.8333 7.3	50.8333 6	
51 5.9	51 3.8	51 5.6	51 7.1	
51.1667 6.1	51.1667 5	51.1667 5.7	51.1667 7.6	
51.3333 6.3	51.3333 4.9	51.3333 6.7	51.3333 5.7	
51.5 5.4	51.5 4.3	51.5 5.8	51.5 5.8	
51.6667 5.7	51.6667 3.2	51.6667 4.7	51.6667 6.9	
51.8333 5.5	51.8333 3.2	51.8333 4.3	51.8333 6.5	
52 4.6	52 3.9	52 3.7	52 6.6	
52.1667 5.8	52.1667 4.2	52.1667 5.9	52.1667 5.8	
52.3333 5.9	52.3333 4.6	52.3333 7.8	52.3333 5.1	
52.5 5.2	52.5 3.6	52.5 6.3	52.5 6.2	
52.6667 4.8	52.6667 3.9	52.6667 5.8	52.6667 5.4	
52.8333 6.7	52.8333 3.6	52.8333 4.6	52.8333 5.9	
53 5.7	53 3.5	53 6.5	53 5.7	
53.1667 5.9	53.1667 3.4	53.1667 5.9	53.1667 7	
53.3333 5.9	53.3333 4.7	53.3333 5.1	53.3333 6	
53.5 7	53.5 3.2	53.5 5.7	53.5 7.4	
53.6667 4.4	53.6667 3.8	53.6667 5.2	53.6667 7.1	
53.8333 4.6	53.8333 4	53.8333 3.9	53.8333 6.4	
54 5.1	54 4.4	54 5.4	54 6.3	
54.1667 5.7	54.1667 4	54.1667 5.8	54.1667 5.4	
54.3333 5.8	54.3333 4.9	54.3333 7.6	54.3333 6.7	
54.5 5.9	54.5 4.4	54.5 6.6	54.5 6.4	
54.6667 6.4	54.6667 3.5	54.6667 4	54.6667 6.1	
54.8333 5.5	54.8333 3.4	54.8333 6.8	54.8333 6.5	
55 5.1	55 4.4	55 6	55 5.2	
55.1667 5.3	55.1667 4	55.1667 5	55.1667 5.7	
55.3333 7.9	55.3333 3.8	55.3333 5.5	55.3333 6.1	
55.5 5.8	55.5 3	55.5 5.2	55.5 6.7	
55.6667 4.8	55.6667 3	55.6667 4.4	55.6667 6.4	
55.8333 3.4	55.8333 5.1	55.8333 5.8	55.8333 6.4	
56 4.5	56 4.3	56 6.2	56 7.8	
56.1667 7.3	56.1667 4	56.1667 6.2	56.1667 6.4	
56.3333 6.7	56.3333 3.4	56.3333 6.6	56.3333 6.2	
56.5 6.1	56.5 3.7	56.5 5.5	56.5 5.5	
56.6667 5.4	56.6667 4.7	56.6667 5.3	56.6667 5.1	
56.8333 4.8	56.8333 3.9	56.8333 5.9	56.8333 5.2	
57 4.5	57 4.4	57 5.3	57 4.1	
57.1667 7.1	57.1667 4.7	57.1667 6.7	57.1667 5.3	
57.3333 7.1	57.3333 3.1	57.3333 5.7	57.3333 6.1	
57.5 4.5	57.5 4.7	57.5 4.2	57.5 5.5	
57.6667 4.1	57.6667 4.6	57.6667 6.3	57.6667 5.7	
57.8333 5.1	57.8333 2.9	57.8333 4	57.8333 6.8	
58 5.4	58 2.9	58 4.8	58 6.5	
58.1667 6.1	58.1667 2.9	58.1667 6.9	58.1667 6.4	
58.3333 6.7	58.3333 4.2	58.3333 6.7	58.3333 6.9	
58.5 6.2	58.5 4.6	58.5 5.5	58.5 5.8	
58.6667 5.5	58.6667 4.1	58.6667 5.8	58.6667 5.9	
58.8333 4.8	58.8333 3.7	58.8333 5	58.8333 6.1	
59 5.9	59 4.6	59 5.7	59 5.6	
59.1667 7.5	59.1667 4.4	59.1667 6.7	59.1667 5.5	
59.3333 5.2	59.3333 4.1	59.3333 6.5	59.3333 4.8	
59.5 4.1	59.5 4.4	59.5 4.6	59.5 5.9	
59.6667 5.6	59.6667 3.6	59.6667 4.5	59.6667 7	
59.8333 5.8	59.8333 3.7	59.8333 4.6	59.8333 5.4	
60 6.1	60 3.6	60 6.7	60 5.6	
