democratic	democratic7	energy	random	static
24.1667 0	24.1667 0	24.1667 0	24.1667 4	
24.3333 0	24.3333 0	24.3333 0	24.3333 1	
24.5 0	24.5 0	24.5 0	24.5 1	
24.6667 0	24.6667 0	24.6667 0	24.6667 1	
24.8333 0	24.8333 0	24.8333 0	24.8333 1	
25 0	25 0	25 0	25 2	
25.1667 0	25.1667 0	25.1667 0	25.1667 0	
25.3333 0	25.3333 0	25.3333 0	25.3333 1	
25.5 0	25.5 0	25.5 0	25.5 2	
25.6667 0	25.6667 0	25.6667 0	25.6667 2	
25.8333 0	25.8333 0	25.8333 0	25.8333 0	
26 0	26 0	26 0	26 0	
26.1667 0	26.1667 0	26.1667 0	26.1667 2	
26.3333 0	26.3333 0	26.3333 0	26.3333 1	
26.5 0	26.5 0	26.5 0	26.5 1	
26.6667 0	26.6667 0	26.6667 0	26.6667 0	
26.8333 0	26.8333 0	26.8333 0	26.8333 0	
27 0	27 0	27 0	27 1	
27.1667 0	27.1667 0	27.1667 0	27.1667 0	
27.3333 0	27.3333 0	27.3333 0	27.3333 2	
27.5 0	27.5 0	27.5 0	27.5 1	
27.6667 0	27.6667 0	27.6667 0	27.6667 0	
27.8333 0	27.8333 0	27.8333 0	27.8333 0	
28 0	28 0	28 0	28 2	
28.1667 0	28.1667 0	28.1667 0	28.1667 1	
28.3333 0	28.3333 0	28.3333 0	28.3333 0	
28.5 0	28.5 0	28.5 0	28.5 1	
28.6667 0	28.6667 0	28.6667 0	28.6667 1	
28.8333 0	28.8333 0	28.8333 0	28.8333 0	
29 0	29 0	29 0	29 1	
29.1667 0	29.1667 0	29.1667 0	29.1667 1	
29.3333 0	29.3333 0	29.3333 0	29.3333 0	
29.5 0	29.5 0	29.5 0	29.5 0	
29.6667 0	29.6667 0	29.6667 0	29.6667 1	
29.8333 0	29.8333 0	29.8333 0	29.8333 1	
30 0	30 0	30 0	30 1	
30.1667 0	30.1667 0	30.1667 0	30.1667 0	
30.3333 0	30.3333 0	30.3333 0	30.3333 0	
30.5 0	30.5 0	30.5 0	30.5 0	
30.6667 0	30.6667 0	30.6667 0	30.6667 0	
30.8333 0	30.8333 0	30.8333 0	30.8333 0	
31 0	31 0	31 0	31 0	
31.1667 0	31.1667 0	31.1667 0	31.1667 0	
31.3333 0	31.3333 0	31.3333 0	31.3333 1	
31.5 0	31.5 0	31.5 0	31.5 0	
31.6667 0	31.6667 0	31.6667 0	31.6667 0	
31.8333 0	31.8333 0	31.8333 0	31.8333 0	
32 0	32 0	32 0	32 0	
32.1667 0	32.1667 0	32.1667 0	32.1667 0	
32.3333 0	32.3333 0	32.3333 0	32.3333 0	
32.5 0	32.5 0	32.5 0	32.5 0	
32.6667 0	32.6667 0	32.6667 0	32.6667 1	
32.8333 0	32.8333 0	32.8333 0	32.8333 0	
33 0	33 0	33 0	33 0	
33.1667 0	33.1667 0	33.1667 0	33.1667 0	
33.3333 0	33.3333 0	33.3333 0	33.3333 0	
33.5 0	33.5 0	33.5 0	33.5 0	
33.6667 0	33.6667 0	33.6667 0	33.6667 0	
33.8333 0	33.8333 0	33.8333 0	33.8333 0	
34 0	34 0	34 0	34 0	
34.1667 0	34.1667 0	34.1667 0	34.1667 0	
34.3333 0	34.3333 0	34.3333 0	34.3333 0	
34.5 0	34.5 0	34.5 0	34.5 0	
34.6667 0	34.6667 0	34.6667 0	34.6667 0	
34.8333 0	34.8333 0	34.8333 0	34.8333 1	
35 0	35 0	35 0	35 0	
35.1667 0	35.1667 0	35.1667 0	35.1667 0	
35.3333 0	35.3333 0	35.3333 0	35.3333 0	
35.5 0	35.5 0	35.5 0	35.5 0	
35.6667 0	35.6667 0	35.6667 0	35.6667 0	
35.8333 0	35.8333 0	35.8333 0	35.8333 0	
36 0	36 0	36 0	36 0	
36.1667 0	36.1667 0	36.1667 0	36.1667 0	
36.3333 0	36.3333 0	36.3333 0	36.3333 0	
36.5 0	36.5 0	36.5 0	36.5 1	
36.6667 0	36.6667 0	36.6667 0	36.6667 0	
36.8333 0	36.8333 0	36.8333 0	36.8333 0	
37 0	37 0	37 0	37 0	
37.1667 0	37.1667 0	37.1667 0	37.1667 0	
37.3333 0	37.3333 0	37.3333 0	37.3333 0	
37.5 0	37.5 0	37.5 0	37.5 0	
37.6667 0	37.6667 0	37.6667 0	37.6667 0	
37.8333 0	37.8333 0	37.8333 0	37.8333 0	
38 0	38 0	38 0	38 0	
38.1667 0	38.1667 0	38.1667 0	38.1667 0	
38.3333 0	38.3333 0	38.3333 0	38.3333 0	
38.5 0	38.5 0	38.5 0	38.5 0	
38.6667 0	38.6667 0	38.6667 0	38.6667 0	
38.8333 0	38.8333 0	38.8333 0	38.8333 1	
39 0	39 0	39 0	39 0	
39.1667 0	39.1667 0	39.1667 0	39.1667 0	
39.3333 0	39.3333 0	39.3333 0	39.3333 0	
39.5 0	39.5 0	39.5 0	39.5 0	
39.6667 0	39.6667 0	39.6667 0	39.6667 0	
39.8333 0	39.8333 0	39.8333 0	39.8333 0	
40 0	40 0	40 0	40 0	
40.1667 0	40.1667 0	40.1667 0	40.1667 0	
40.3333 0	40.3333 0	40.3333 0	40.3333 0	
40.5 0	40.5 0	40.5 0	40.5 0	
40.6667 0	40.6667 0	40.6667 0	40.6667 0	
40.8333 0	40.8333 0	40.8333 0	40.8333 0	
41 0	41 0	41 0	41 0	
41.1667 0	41.1667 0	41.1667 0	41.1667 1	
41.3333 0	41.3333 0	41.3333 0	41.3333 1	
41.5 0	41.5 0	41.5 0	41.5 0	
41.6667 0	41.6667 0	41.6667 0	41.6667 0	
41.8333 0	41.8333 0	41.8333 0	41.8333 0	
42 0	42 0	42 0	42 0	
42.1667 0	42.1667 0	42.1667 0	42.1667 0	
42.3333 0	42.3333 0	42.3333 0	42.3333 0	
42.5 0	42.5 0	42.5 0	42.5 0	
42.6667 0	42.6667 0	42.6667 0	42.6667 0	
42.8333 0	42.8333 0	42.8333 0	42.8333 0	
43 0	43 0	43 0	43 0	
43.1667 0	43.1667 0	43.1667 0	43.1667 0	
43.3333 0	43.3333 0	43.3333 0	43.3333 0	
43.5 0	43.5 0	43.5 0	43.5 0	
43.6667 0	43.6667 0	43.6667 0	43.6667 0	
43.8333 0	43.8333 0	43.8333 0	43.8333 0	
44 0	44 0	44 0	44 0	
44.1667 0	44.1667 0	44.1667 0	44.1667 0	
44.3333 0	44.3333 0	44.3333 0	44.3333 0	
44.5 0	44.5 0	44.5 0	44.5 0	
44.6667 0	44.6667 0	44.6667 0	44.6667 0	
44.8333 0	44.8333 0	44.8333 0	44.8333 0	
45 0	45 0	45 0	45 0	
45.1667 0	45.1667 0	45.1667 0	45.1667 0	
45.3333 0	45.3333 0	45.3333 0	45.3333 0	
45.5 0	45.5 0	45.5 0	45.5 0	
45.6667 0	45.6667 0	45.6667 0	45.6667 0	
45.8333 0	45.8333 0	45.8333 0	45.8333 0	
46 0	46 0	46 0	46 0	
46.1667 0	46.1667 0	46.1667 0	46.1667 0	
46.3333 0	46.3333 0	46.3333 0	46.3333 0	
46.5 0	46.5 0	46.5 0	46.5 0	
46.6667 0	46.6667 0	46.6667 0	46.6667 0	
46.8333 0	46.8333 0	46.8333 0	46.8333 0	
47 0	47 0	47 0	47 0	
47.1667 0	47.1667 0	47.1667 0	47.1667 0	
47.3333 0	47.3333 0	47.3333 0	47.3333 0	
47.5 0	47.5 0	47.5 0	47.5 0	
47.6667 0	47.6667 0	47.6667 0	47.6667 0	
47.8333 0	47.8333 0	47.8333 0	47.8333 0	
48 0	48 0	48 0	48 0	
48.1667 0	48.1667 0	48.1667 0	48.1667 0	
48.3333 0	48.3333 0	48.3333 0	48.3333 0	
48.5 0	48.5 0	48.5 0	48.5 0	
48.6667 0	48.6667 0	48.6667 0	48.6667 0	
48.8333 0	48.8333 0	48.8333 0	48.8333 0	
49 0	49 0	49 0	49 0	
49.1667 0	49.1667 0	49.1667 0	49.1667 0	
49.3333 0	49.3333 0	49.3333 0	49.3333 0	
49.5 0	49.5 0	49.5 0	49.5 0	
49.6667 0	49.6667 0	49.6667 0	49.6667 0	
49.8333 0	49.8333 0	49.8333 0	49.8333 0	
50 0	50 0	50 0	50 0	
50.1667 0	50.1667 0	50.1667 0	50.1667 0	
50.3333 0	50.3333 0	50.3333 0	50.3333 0	
50.5 0	50.5 0	50.5 0	50.5 0	
50.6667 0	50.6667 0	50.6667 0	50.6667 0	
50.8333 0	50.8333 0	50.8333 0	50.8333 0	
51 0	51 0	51 0	51 0	
51.1667 0	51.1667 0	51.1667 0	51.1667 0	
51.3333 0	51.3333 0	51.3333 0	51.3333 0	
51.5 0	51.5 0	51.5 0	51.5 0	
51.6667 0	51.6667 0	51.6667 0	51.6667 0	
51.8333 0	51.8333 0	51.8333 0	51.8333 0	
52 0	52 0	52 0	52 0	
52.1667 0	52.1667 0	52.1667 0	52.1667 0	
52.3333 0	52.3333 0	52.3333 0	52.3333 0	
52.5 0	52.5 0	52.5 0	52.5 0	
52.6667 0	52.6667 0	52.6667 0	52.6667 0	
52.8333 0	52.8333 0	52.8333 0	52.8333 0	
53 0	53 0	53 0	53 0	
53.1667 0	53.1667 0	53.1667 0	53.1667 0	
53.3333 0	53.3333 0	53.3333 0	53.3333 0	
53.5 0	53.5 0	53.5 0	53.5 0	
53.6667 0	53.6667 0	53.6667 0	53.6667 0	
53.8333 0	53.8333 0	53.8333 0	53.8333 0	
54 0	54 0	54 0	54 0	
54.1667 0	54.1667 0	54.1667 0	54.1667 0	
54.3333 0	54.3333 0	54.3333 0	54.3333 0	
54.5 0	54.5 0	54.5 0	54.5 0	
54.6667 0	54.6667 0	54.6667 0	54.6667 0	
54.8333 0	54.8333 0	54.8333 0	54.8333 0	
55 0	55 0	55 0	55 0	
55.1667 0	55.1667 0	55.1667 0	55.1667 0	
55.3333 0	55.3333 0	55.3333 0	55.3333 0	
55.5 0	55.5 0	55.5 0	55.5 0	
55.6667 0	55.6667 0	55.6667 0	55.6667 0	
55.8333 0	55.8333 0	55.8333 0	55.8333 0	
56 0	56 0	56 0	56 0	
56.1667 0	56.1667 0	56.1667 0	56.1667 0	
56.3333 0	56.3333 0	56.3333 0	56.3333 0	
56.5 0	56.5 0	56.5 0	56.5 0	
56.6667 0	56.6667 0	56.6667 0	56.6667 0	
56.8333 0	56.8333 0	56.8333 0	56.8333 0	
57 0	57 0	57 0	57 0	
57.1667 0	57.1667 0	57.1667 0	57.1667 0	
57.3333 0	57.3333 0	57.3333 0	57.3333 0	
57.5 0	57.5 0	57.5 0	57.5 0	
57.6667 0	57.6667 0	57.6667 0	57.6667 0	
57.8333 0	57.8333 0	57.8333 0	57.8333 0	
58 0	58 0	58 0	58 0	
58.1667 0	58.1667 0	58.1667 0	58.1667 0	
58.3333 0	58.3333 0	58.3333 0	58.3333 0	
58.5 0	58.5 0	58.5 0	58.5 0	
58.6667 0	58.6667 0	58.6667 0	58.6667 0	
58.8333 0	58.8333 0	58.8333 0	58.8333 0	
59 0	59 0	59 0	59 0	
59.1667 0	59.1667 0	59.1667 0	59.1667 0	
59.3333 0	59.3333 0	59.3333 0	59.3333 0	
59.5 0	59.5 0	59.5 0	59.5 0	
59.6667 0	59.6667 0	59.6667 0	59.6667 0	
59.8333 0	59.8333 0	59.8333 0	59.8333 0	
60 0	60 0	60 0	60 0	
